smiles,pic50
Br.CC(Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccc(C(F)(F)F)cc1,5.34
Br.CC(Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1cccc2ccccc12,6.0
Br.CC[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccccc1,8.4
Br.C[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccc(Br)cc1,7.21
Br.C[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccc(F)cc1,8.42
Br.C[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1cccc(F)c1,8.05
Br.C[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccccc1,8.43
Br.C[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccccc1F,8.1
Br.Cc1ccc([C@@H](C)Nc2ncnc3[nH]c(-c4ccc(O)cc4)cc23)cc1,6.35
Br.Cc1cccc(C(C)Nc2ncnc3[nH]c(-c4ccc(O)cc4)cc23)c1,7.02
Br.Cc1ccccc1C(C)Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12,7.77
Br.Oc1ccc(-c2cc3c(NCc4ccc(F)cc4)ncnc3[nH]2)cc1,7.58
Br.Oc1ccc(-c2cc3c(NCc4cccc(F)c4)ncnc3[nH]2)cc1,7.28
Br.Oc1ccc(-c2cc3c(NCc4ccccc4)ncnc3[nH]2)cc1,8.48
Br.Oc1ccc(-c2cc3c(NCc4ccccc4F)ncnc3[nH]2)cc1,7.35
Brc1cc2c(NCc3ccccc3)ncnc2s1,6.62
Brc1cc2c(NCc3ccccn3)ncnc2s1,5.1
Brc1cc2c(NCc3cccs3)ncnc2s1,5.86
Brc1cc2c(NCc3ccncc3)ncnc2s1,5.41
Brc1cc2c(Nc3ccccc3)ncnc2s1,7.1
Brc1ccc(C2=NN(c3ccccc3)C(c3ccc4ccccc4c3)C2)cc1,6.15
Brc1ccc(C2=NN(c3ccccc3)C(c3cccc4ccccc34)C2)cc1,6.31
Brc1ccc(C2=NN(c3nc(-c4ccccc4)cs3)C(c3ccc(Br)cc3)C2)cc1,5.05
Brc1ccc2c(c1)CNc1c(NCc3ccccc3)ncnc1O2,5.22
Brc1ccc2c(c1)CNc1c(Nc3ccccc3)ncnc1O2,5.0
Brc1cccc(Nc2[nH]cnc3c4ccccc4nc2-3)c1.Cl,7.14
Brc1cccc(Nc2[nH]cnc3nc4ccccc4c2-3)c1,7.51
Brc1cccc(Nc2ncnc3[nH]c4c(c23)CCCC4)c1,7.34
Brc1cccc(Nc2ncnc3c2NCc2cc(Br)ccc2O3)c1,6.0
Brc1cccc(Nc2ncnc3c2NCc2ccccc2O3)c1,5.47
Brc1cccc(Nc2ncnc3c2ccc2[nH]cnc23)c1,6.57
Brc1cccc(Nc2ncnc3c2oc2ccccc23)c1,6.13
Brc1cccc(Nc2ncnc3c2sc2ccccc23)c1,8.74
Brc1cccc(Nc2ncnc3c2sc2ncccc23)c1,6.13
Brc1cccc(Nc2ncnc3c2sc2ncsc23)c1.CO,7.4
Brc1cccc(Nc2ncnc3cc(NCCCCN4CCOCC4)ncc23)c1,8.27
Brc1cccc(Nc2ncnc3cc(NCCCN4CCOCC4)ncc23)c1,8.72
Brc1cccc(Nc2ncnc3cc(NCCCn4ccnc4)ncc23)c1,9.29
Brc1cccc(Nc2ncnc3cc(NCCN4CCOCC4)ncc23)c1,8.49
Brc1cccc(Nc2ncnc3cc(NCCc4c[nH]cn4)ncc23)c1,9.04
Brc1cccc(Nc2ncnc3cc(OCCCN4CCOCC4)c4c(c23)OCCO4)c1,7.73
Brc1cccc(Nc2ncnc3cc4[nH]ccc4cc23)c1,9.41
Brc1cccc(Nc2ncnc3cc4[nH]ncc4cc23)c1,9.36
Brc1cccc(Nc2ncnc3cc4c(cc23)CN4)c1,9.36
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCCO4)c1,7.07
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCCSCCCO4)c1,8.1
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCO4)c1,7.26
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)c1,8.3
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCOCOCOCCO4)c1,8.3
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCSCCO4)c1,8.15
Brc1cccc(Nc2ncnc3cc4c(cc23)Oc2ccccc2O4)c1,6.92
Brc1cccc(Nc2ncnc3ccc(N/N=N/CCN4CCOCC4)cc23)c1,7.19
Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccc4)cc23)c1,7.6
Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccn4)cc23)c1,6.62
Brc1cccc(Nc2ncnc3ccc(NCCCN4CCCCC4)cc23)c1,9.39
Brc1cccc(Nc2ncnc3ccc4[nH]cnc4c23)c1,7.54
Brc1cccc(Nc2ncnc3ccc4cc[nH]c4c23)c1,8.91
Brc1cccc(Nc2ncnc3ccccc23)c1,7.56
Brc1cccc(Nc2ncnc3cccnc23)c1,7.46
Brc1cccc(Nc2ncnc3ccncc23)c1,7.45
Brc1cccc(Nc2ncnc3ccncc23)c1NCCCCN1CCOCC1,8.26
Brc1cccc(Nc2ncnc3ccncc23)c1NCCCN1CCOCC1,8.72
Brc1cccc(Nc2ncnc3ccncc23)c1NCCCn1ccnc1,9.29
Brc1cccc(Nc2ncnc3ccncc23)c1NCCN1CCOCC1,8.49
Brc1cccc(Nc2ncnc3ccncc23)c1NCCc1c[nH]cn1,9.04
Brc1cccc(Nc2ncnc3ccsc23)c1,7.96
Brc1cccc(Nc2ncnc3cnc(NCCCN4CCOCC4)cc23)c1,9.0
Brc1cccc(Nc2ncnc3cnc(NCCCN4CCOCC4)nc23)c1,8.53
Brc1cccc(Nc2ncnc3cnc(NCCCn4ccnc4)cc23)c1,8.77
Brc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)cc23)c1,9.17
Brc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)nc23)c1,9.09
Brc1cccc(Nc2ncnc3cnc(NCCc4c[nH]cn4)cc23)c1,9.11
Brc1cccc(Nc2ncnc3cnc(NCCc4c[nH]cn4)nc23)c1,9.6
Brc1cccc(Nc2ncnc3cnc(NCCc4ccccn4)cc23)c1,8.92
Brc1cccc(Nc2ncnc3cnc(NCCn4ccnc4)nc23)c1,8.63
Brc1cccc(Nc2ncnc3cnc(NCc4cccnc4)cc23)c1,8.82
Brc1cccc(Nc2ncnc3cnccc23)c1,7.29
